City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,vilyuchinsk,52.9306,158.4028,272.3,64,54,5.83,RU,1731464116
117,ust-nera,64.5667,143.2,245.43,97,86,0.74,RU,1731464117
118,granby,45.4001,-72.7324,272.11,74,6,0.51,CA,1731464119
119,rouyn-noranda,48.2398,-79.0288,270.2,93,100,1.03,CA,1731464120
120,codrington,-38.2667,141.9667,290.51,67,15,7.28,AU,1731464121
121,salinopolis,-0.6136,-47.3561,299.55,80,89,4.15,BR,1731464123
122,bathsheba,13.2167,-59.5167,300.49,89,40,2.06,BB,1731464124
123,blackmans bay,-43.0167,147.3167,289.22,89,100,0.45,AU,1731464125
124,severo-yeniseyskiy,60.3725,93.0408,256.24,92,100,4.91,RU,1731464126
125,kudymkar,59.0173,54.656,270.82,98,99,2.07,RU,1731464128
126,san andres,12.5847,-81.7006,298.16,100,20,0.0,CO,1731464129
127,lavaltrie,45.8834,-73.2824,273.9,80,0,0.0,CA,1731464130
128,kerikeri,-35.2268,173.9474,293.4,66,90,3.91,NZ,1731464131
129,iqaluit,63.7506,-68.5145,257.98,77,98,2.24,CA,1731463905
130,walcz,53.2779,16.4712,276.08,77,100,1.44,PL,1731464134
131,atafu village,-8.5421,-172.5159,301.8,68,0,6.58,TK,1731464135
132,tadmur,34.5608,38.2805,287.82,70,0,1.98,SY,1731464136
133,luderitz,-26.6481,15.1594,289.2,66,0,8.94,NA,1731464138
134,vorkuta,67.5,64.0,246.06,100,92,1.11,RU,1731464139
135,kangding,30.0513,101.9603,286.66,43,0,1.16,CN,1731464140
136,zemio,5.0314,25.1361,293.16,89,99,1.13,CF,1731464141
137,zag,46.9441,99.165,260.79,92,58,1.15,MN,1731464143
138,hermanus,-34.4187,19.2345,288.04,83,100,5.12,ZA,1731464144
139,isafjordur,66.0755,-23.124,275.55,76,15,24.33,IS,1731464145
140,fale old settlement,-9.3852,-171.2468,301.57,75,11,6.33,TK,1731464146
141,port isabel,26.0734,-97.2086,296.17,73,0,3.6,US,1731464148
142,tarinkot,32.6268,65.8733,282.95,32,24,0.61,AF,1731464149
143,grand falls-windsor,48.9332,-55.6649,280.65,89,100,1.79,CA,1731464150
144,japaratuba,-10.5933,-36.9403,295.72,92,4,2.82,BR,1731464151
145,tamanrasset,22.785,5.5228,286.1,28,0,2.06,DZ,1731464153
146,weno,7.4515,151.8468,301.12,89,100,1.54,FM,1731464154
147,ibiza,38.9088,1.433,288.05,83,75,8.23,ES,1731464155
148,college,64.8569,-147.8028,255.87,78,75,1.54,US,1731464156
149,bamboo flat,11.7,92.7167,300.2,94,40,1.03,IN,1731464158
150,anadyr,64.75,177.4833,271.43,79,40,11.0,RU,1731464159
151,petropavlovsk-kamchatsky,53.0452,158.6483,271.48,43,0,4.0,RU,1731464160
152,chibougamau,49.9168,-74.3659,267.94,80,100,1.54,CA,1731464162
153,shingu,33.7333,135.9833,294.91,52,0,1.07,JP,1731464163
154,sao gabriel da cachoeira,-0.1303,-67.0892,299.38,75,54,0.75,BR,1731464164
155,masuguru,-11.3667,38.4167,297.85,81,100,2.04,TZ,1731464165
156,saint joseph,39.7686,-94.8466,284.93,60,0,3.6,US,1731464167
157,udachny,66.4167,112.4,252.78,100,100,1.36,RU,1731464168
158,sirte,31.2089,16.5887,293.37,35,89,6.28,LY,1731464169
159,kailua-kona,19.6406,-155.9956,301.79,74,100,5.14,US,1731464146
160,hadibu,12.65,54.0333,298.11,75,13,4.27,YE,1731464172
161,brandon,27.9378,-82.2859,299.29,83,0,2.57,US,1731464173
162,nyurba,63.2842,118.3319,259.48,100,100,1.74,RU,1731464174
163,fortuna,40.5982,-124.1573,286.66,67,100,5.14,US,1731464175
164,aldinga beach,-35.2793,138.4604,293.19,62,12,6.21,AU,1731464177
165,hamilton,39.1834,-84.5333,280.42,80,6,0.89,US,1731464090
166,smithers,54.7804,-127.1743,274.33,100,75,0.0,CA,1731464179
167,pyetrykaw,52.1289,28.4921,271.57,93,54,2.05,BY,1731464180
168,crane,31.3974,-102.3501,294.7,71,97,7.61,US,1731464182
169,homer,59.6425,-151.5483,273.08,62,40,0.0,US,1731464183
170,mugia,43.1041,-9.2179,284.77,74,4,12.42,ES,1731464184
171,zhangye,38.9342,100.4517,281.33,38,38,3.95,CN,1731464185
172,kavieng,-2.5744,150.7967,302.9,67,25,2.33,PG,1731464187
173,chengdu,30.6667,104.0667,291.4,78,40,1.0,CN,1731464188
174,zheshart,62.0731,49.5733,272.35,93,100,3.74,RU,1731464189
175,tiksi,71.6872,128.8694,251.64,100,98,1.49,RU,1731464190
176,lata,40.1629,-8.3327,281.98,66,47,3.64,PT,1731464192
177,quellon,-43.1167,-73.6167,282.79,93,75,2.48,CL,1731464193
178,malango,-2.9627,119.9001,300.84,59,76,1.74,ID,1731464194
179,acarau,-2.8856,-40.12,298.22,85,27,3.42,BR,1731464197
180,richfield,44.8833,-93.283,278.9,79,20,8.23,US,1731464198
181,salgueiro,-8.0742,-39.1192,297.97,63,53,1.17,BR,1731464199
182,la passe,45.5549,-0.8967,280.0,92,26,6.6,FR,1731464201
183,klyuchi,52.2667,79.1667,264.01,78,100,4.87,RU,1731464202
184,manturovo,58.3353,44.7619,272.68,88,100,2.39,RU,1731464203
185,mek'ele,13.4967,39.4753,286.45,71,46,3.37,ET,1731464206
186,aykhal,66.0,111.5,257.48,99,100,1.76,RU,1731464207
187,badger,64.8,-147.5333,254.46,82,40,1.54,US,1731464208
